B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B10,B11,B12,OM [%]
1826.0,1378.0,1312.0,1331.0,1027.0,993.0,1215.0,1388.0,1154.0,560.0,12.0,1209.0,970.0,1.8
1648.0,1543.0,1467.0,1553.0,1487.0,1974.0,2177.0,1605.0,2345.0,669.0,13.0,1823.0,1469.0,4.0
1306.0,957.0,704.0,385.0,341.0,260.0,240.0,187.0,185.0,66.0,8.0,68.0,54.0,1.1
2672.0,1836.0,1726.0,1669.0,1675.0,1960.0,1922.0,1765.0,2034.0,1028.0,15.0,2723.0,2591.0,3.6
2464.0,2432.0,2513.0,2740.0,2821.0,3004.0,3215.0,3067.0,3271.0,1385.0,15.0,3257.0,2773.0,8.4
1834.0,1814.0,2086.0,2417.0,2462.0,2653.0,2845.0,2679.0,3027.0,674.0,19.0,3785.0,3008.0,1.7
1751.0,2567.0,2352.0,2597.0,2616.0,2674.0,2638.0,2689.0,2576.0,938.0,18.0,2850.0,2651.0,2.9
1360.0,1073.0,1066.0,1246.0,1318.0,1487.0,1603.0,1489.0,1598.0,683.0,17.0,2109.0,1537.0,0.3
1325.0,1341.0,1645.0,2221.0,2349.0,2588.0,2796.0,2659.0,2915.0,881.0,17.0,3741.0,2903.0,1.6
1282.0,1315.0,1675.0,2161.0,2338.0,2598.0,2807.0,2616.0,2929.0,1144.0,13.0,3158.0,2481.0,4.4
1493.0,1269.0,1163.0,1269.0,1281.0,1391.0,1532.0,1499.0,1738.0,534.0,16.0,2435.0,1610.0,3.2
1206.0,1053.0,1027.0,670.0,522.0,447.0,433.0,387.0,436.0,196.0,9.0,209.0,181.0,5.8
1785.0,1756.0,1826.0,2195.0,2265.0,2455.0,2723.0,2571.0,2943.0,740.0,15.0,3783.0,3388.0,4.3
1536.0,1536.0,1610.0,1853.0,1900.0,2008.0,2180.0,2060.0,2301.0,483.0,10.0,2565.0,2191.0,2.0
