,lat,long,NDVI,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B10,B11,B12,B1dx,B2dx,B3dx,B4dx,B5dx,B6dx,B7dx,B8dx,B9dx,B10dx,B11dx,B12dx,B1dx2,B2dx2,B3dx2,B4dx2,B5dx2,B6dx2,B7dx2,B8dx2,B9dx2,B10dx2,B11dx2,B1cr,B2cr,B3cr,B4cr,B5cr,B6cr,B7cr,B8cr,B9cr,B10cr,B11cr,B12cr,Ca [mg/kg]
144,39.284,-2.8667,0.1156089193825042,1724.0,1513.0,1788.0,2578.0,2917.0,3131.0,3386.0,3252.0,3678.0,1847.0,25.0,4791.0,3982.0,-4245472837.0221305,4080118694.362019,7538167938.931303,8582278481.012657,5879120879.120865,6028368794.326241,-2680000000.000003,13354231974.921646,-22773631840.796017,-4253034547.152193,19841798501.248974,-1374214370.647189,1.6751693222100896e+17,5.130636861378761e+16,9962886851921324.0,-6.843436966814663e+16,4100217450697124.0,-2.058716027027481e+17,3.2068463949843334e+17,-1.1325349158532197e+18,2.3035568773188832e+17,5.624377462278516e+16,-8.832644825935128e+16,1.0,0.7692409921579684,0.7786628791555338,0.9179667860989006,0.97187687601785,0.9848115559764574,1.0,0.9123897703908077,1.0,0.4863760848335931,0.005638164323298032,1.0,1840.0
145,39.0523,-4.1765,0.0978835978835978,1375.0,1112.0,1062.0,1364.0,1471.0,1691.0,1804.0,1660.0,1909.0,810.0,15.0,2152.0,1714.0,-5291750503.0181055,-741839762.6112761,2881679389.3129787,2708860759.4936705,6043956043.956029,2671394799.0543733,-2880000000.0000033,7805642633.228849,-13669154228.85572,-1855742296.918767,8896752706.078274,-744012230.338033,9.154749980697842e+16,5.376141174961804e+16,-1649032727283477.0,8.443279201170526e+16,-9.265278145334197e+16,-1.3123864773178195e+17,2.137128526645773e+17,-6.73191124203279e+17,1.4693298422807155e+17,2.509919468486703e+16,-4.013640689598798e+16,1.0,0.7733551223174813,0.6972261487342353,0.8237745236242255,0.8623639554255015,0.9652724722809584,0.9992447464991754,0.8883496241392891,1.0,0.4185863979463745,0.0072321525473720465,1.0,7080.0
146,39.0348,-4.157,0.1388660640920296,1390.0,1261.0,1252.0,1572.0,1696.0,1931.0,2114.0,2079.0,2309.0,885.0,16.0,2226.0,1488.0,-2595573440.643862,-133531157.27002971,3053435114.503819,3139240506.3291135,6456043956.043941,4326241134.751773,-700000000.0000007,7210031347.962391,-17711442786.06965,-2028478057.889822,9200666111.573694,-1253609648.3777816,4.953807411214951e+16,4.728436605005711e+16,818753738790978.5,8.396970758771714e+16,-5.851106651901546e+16,-1.188236674882216e+17,1.58200626959248e+17,-7.812374336687169e+17,1.9506175035049536e+17,2.6211821123864412e+16,-4.35232129889737e+16,1.0,0.8416581745667844,0.7610888527126891,0.83918897020529,0.8656341156444566,0.9472528131670236,0.9921881316856846,0.9283195456393778,1.0,0.3847674654703901,0.007102847741710489,1.0,140.0
147,39.1118,-3.2417,0.1325459317585302,1587.0,1676.0,1886.0,2644.0,2924.0,3117.0,3421.0,3452.0,3973.0,1357.0,21.0,4395.0,2948.0,1790744466.800804,3115727002.96736,7232824427.480921,7088607594.936708,5302197802.197789,7186761229.314421,620000000.0000007,16332288401.253939,-32537313432.83582,-3118580765.6395884,18209825145.711918,-2457958213.0117207,2.6659608373572544e+16,6.108453152097273e+16,-1376114814353172.0,-4.522556437313719e+16,5.1773720525182056e+16,-1.5524258225329597e+17,3.142457680250791e+17,-1.5319624399401198e+18,3.659046351641322e+17,4.978619493779529e+16,-8.604406061083954e+16,1.0,0.8972137701189726,0.8385625929682253,0.9304522454496345,0.9540082436069988,0.9529867022617688,0.9746619041980089,0.9101847768618235,1.0,0.33770510061149495,0.004929962808854537,1.0,2820.0
148,39.1173,-3.1167,0.1155287599804464,1627.0,1608.0,1885.0,2714.0,2888.0,3148.0,3431.0,3423.0,3723.0,1278.0,22.0,4813.0,4042.0,-382293762.5754525,4109792284.86647,7910305343.511456,4405063291.13924,7142857142.857125,6690307328.605201,-160000000.00000018,9404388714.733553,-30410447761.194027,-2931839402.427637,19945878434.637817,-1309665364.362154,9.0384025099435e+16,5.638743410452502e+16,-3.344696614858986e+16,6.931123675235151e+16,-1.243268720472317e+16,-1.619457997306194e+17,1.9128777429467126e+17,-1.248113996110584e+18,3.4177373580555206e+17,5.3402702700899736e+16,-8.849102330974181e+16,1.0,0.850512479364356,0.8384723547004406,0.9678929477608301,0.9583382240147729,0.9817168740238511,1.0,0.9483922301469999,1.0,0.33281215285781784,0.004928930139788622,1.0,3520.0
149,38.834,-3.8334,0.1223422795399093,1662.0,1608.0,1788.0,2518.0,2659.0,2851.0,3157.0,3220.0,3502.0,1384.0,22.0,4331.0,3066.0,-1086519114.6881282,2670623145.400594,6965648854.961837,3569620253.1645565,5274725274.725262,7234042553.191489,1260000000.0000014,8840125391.84954,-26343283582.08955,-3179271708.6834726,17939217318.90093,-2148802446.067607,7.559642374423984e+16,6.372441705580481e+16,-3.2404853070584756e+16,4.3167215735714056e+16,5.3827397760061064e+16,-1.4123032040641816e+17,1.5160250783699094e+17,-1.1029281810012266e+18,2.8810960041549846e+17,4.929619287484686e+16,-8.363039036206723e+16,1.0,0.8551055691389399,0.8214102538299123,0.9547207333174506,0.9459088079233573,0.9595904705315574,1.0,0.9561641183387157,1.0,0.3854093113095475,0.00541186179737921,1.0,240.0
150,38.8687,-3.6945,0.0423706784507408,1527.0,1484.0,1464.0,1842.0,2103.0,2277.0,2384.0,2005.0,2426.0,938.0,17.0,2901.0,2088.0,-865191146.8812872,-296735905.0445105,3606870229.007636,6607594936.70886,4780219780.219769,2529550827.4231677,-7580000000.000009,13197492163.00942,-18507462686.56716,-2149859943.9775906,12006661115.736895,-1381009002.8877187,1.1437731224080008e+16,5.791700495626332e+16,2.8632869348294144e+16,-4.6262662189597256e+16,-6.18315646372691e+16,-2.389964734615408e+17,4.1554984326018906e+17,-9.938857319616495e+17,2.0345277043021853e+17,3.304510051287227e+16,-5.573551256712998e+16,1.0,0.8981765557575593,0.8034799481157758,0.8829645060401604,0.962168419424163,0.9998197656876475,1.0,0.8301896392293956,0.9963204473450308,0.37746694590940116,0.006178350426406474,1.0,1700.0
151,38.9257,-3.6536,0.1185292694726657,1389.0,1125.0,1233.0,1822.0,1985.0,2273.0,2479.0,2312.0,2512.0,1057.0,17.0,2705.0,2012.0,-5311871227.364182,1602373887.2403564,5620229007.633592,4126582278.4810123,7912087912.0878935,4869976359.338061,-3340000000.000004,6269592476.489036,-18097014925.373135,-2427637721.755368,11190674437.968367,-1177170035.6718192,1.3911962001216368e+17,5.961209377438036e+16,-1.4252354285807064e+16,9.58355856609337e+16,-8.357449320741277e+16,-1.9408927563446963e+17,1.9219184952978102e+17,-7.638434922213856e+17,1.9489275128877818e+17,3.178877721690881e+16,-5.148977715920148e+16,1.0,0.7266101742231212,0.6988613552577262,0.8675462874748047,0.8914251994091308,0.9699453287944843,1.0,0.925115827088222,1.0,0.41733833939938597,0.006431826778221035,1.0,3320.0
152,38.837,-3.3947,0.0252635101221348,1727.0,2139.0,2365.0,2913.0,3039.0,3011.0,3382.0,3064.0,3206.0,1111.0,20.0,3299.0,2645.0,8289738430.583496,3353115727.0029683,5229007633.58779,3189873417.7215185,-769230769.2307674,8770685579.196217,-6360000000.000007,4451410658.307216,-26057213930.348255,-2546685340.802987,13651124063.28061,-1110922371.326652,-9.932842461932646e+16,2.783222413330596e+16,-1.945738755597588e+16,-1.0023048574562749e+17,2.6208561396777366e+17,-3.5769942267603366e+17,2.1622821316614467e+17,-9.563832159453138e+17,2.924195098202148e+17,3.781001261457421e+16,-6.145731238387707e+16,1.0,1.0,0.9684891965201708,1.0,0.9899893093993227,0.9367922241287956,1.0,0.907312729097678,0.9502584822970278,0.330086190432788,0.006018668738419595,1.0,500.0
153,38.884,-3.2667,0.0765714285714285,1378.0,1226.0,1323.0,2020.0,2138.0,2292.0,2455.0,2355.0,2576.0,968.0,18.0,3040.0,2691.0,-3058350100.60362,1439169139.4658759,6650763358.77863,2987341772.1518984,4230769230.7692204,3853427895.981087,-2000000000.0000021,6927899686.520385,-20000000000.0,-2217553688.141923,12581182348.043306,-592831662.9862409,9.049334487061355e+16,7.732335636962546e+16,-3.495631284949174e+16,3.1479176167527136e+16,-1.036652018648715e+16,-1.3837891007047493e+17,1.7855799373040794e+17,-8.441347864112984e+17,2.2117470537136912e+17,3.4544201765138252e+16,-5.484602002926542e+16,1.0,0.7984963940919754,0.7565090635190311,0.970829828157968,0.9692718708543593,0.9874849947123621,1.0,0.9312457601954475,1.0,0.3686485422296995,0.006225793199856365,1.0,2460.0
154,38.9173,-3.0833,0.1509142983035911,1347.0,1225.0,1283.0,1927.0,2147.0,2439.0,2647.0,2612.0,2905.0,1052.0,17.0,3062.0,2296.0,-2454728370.2213264,860534124.6290803,6145038167.938935,5569620253.1645565,8021978021.978003,4917257683.21513,-700000000.0000007,9184952978.056437,-23047263681.592037,-2415966386.554621,12676935886.761042,-1301172074.0614915,6.670548279377072e+16,7.840510450014622e+16,-5490628957770793.0,6.20850068054037e+16,-8.529451480117762e+16,-1.3279568991052318e+17,1.9769905956112896e+17,-1.0104143153494833e+18,2.5660817531141062e+17,3.5230864316796588e+16,-5.819362181857845e+16,1.0,0.7970208792505882,0.714921092949607,0.8778276597417547,0.9151058351015441,0.981365616777996,1.0,0.9313572726287207,1.0,0.3600455076378094,0.00564474435864701,1.0,3400.0
155,38.734,-4.0801,0.1120456593571643,1249.0,980.0,971.0,1478.0,1679.0,1844.0,1993.0,1851.0,2107.0,1036.0,17.0,2877.0,2264.0,-5412474849.094564,-133531157.27002971,4837786259.541987,5088607594.936708,4532967032.967022,3522458628.8416076,-2840000000.0000033,8025078369.905966,-13320895522.38806,-2378618113.912231,11906744379.683605,-1041277390.8612196,1.0621617086166059e+17,7.37584186470626e+16,2393333353003065.0,-1.4066849670118644e+16,-2.776121989355527e+16,-1.5041273354235485e+17,2.1730156739811965e+17,-6.6915278659229e+17,1.3609797771736104e+17,3.33458508253871e+16,-5.390516973582362e+16,1.0,0.7217965457074503,0.6451111363326913,0.8521548081511701,0.9221036500440442,0.970288920165465,1.0,0.8974123095993707,1.0,0.47313406717230133,0.006463717543716264,1.0,2500.0
