B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B10,B11,B12,pH
1773,2152,2557,3581,3530,3791,4086,4353,4367,1560,20,4855,3641,8.3
1581,1642,1778,1988,2019,2310,2411,2288,2455,914,15,2830,2385,7.5
1536,1527,1671,2186,1842,2057,2135,2393,2310,933,15,2858,2544,7
1645,1527,1724,2295,2479,2803,2969,2784,3005,1179,19,2907,2289,8.1
1181,910,738,520,485,469,478,416,439,162,8,360,249,5.3
10246,12170,11950,12279,11794,11212,10812,10509,10392,3712,11,260,202,4.54
10636,12343,12178,12755,11956,11819,10986,10943,10496,3907,13,269,216,4.59
10636,11759,11446,12030,11956,11819,10986,10318,10496,3907,13,269,216,5.07
3554,2165,2089,2654,3278,3641,3478,2974,3662,1541,12,1334,952,4.6
2906,2732,2596,3188,3245,3384,3236,3186,3244,1070,11,900,622,4.63
3506,4063,3649,3462,3702,3577,3486,2975,3156,824,7,107,92,4.64
6717,8634,8676,9036,8966,9338,8812,8483,8431,2473,9,482,364,4.85
7682,7757,7577,7707,7508,7421,7185,6625,6603,2280,9,194,145,5.02
7682,7638,7346,7596,7277,7209,6969,6468,6580,2280,9,191,142,4.56
1515,1878,1885,2031,2252,2475,2588,2338,2684,740,12,2855,2494,7.54
1635,1321,1098,808,809,770,726,558,702,232,10,589,516,8.1
1695,1610,1667,1227,1040,742,781,675,701,180,11,493,398,7.7
1734,1897,1996,2274,2453,2687,2936,2748,3133,707,14,3349,2523,8
1217,902,686,384,338,269,264,217,227,98,10,98,60,7.6
1603,1573,1695,2085,2246,2439,2672,2547,2944,833,18,3766,2724,7.85
1797,1823,2311,2942,3038,3361,3761,3494,3918,1090,19,4324,3580,8.1
1248,1087,1302,1920,2049,2247,2421,2327,2572,923,16,3800,3206,7.6
1659,1736,2106,2944,2998,3310,3609,3591,3825,1196,16,4856,4129,6
2172,2200,2335,2780,2779,2945,3188,3106,3396,986,17,3994,3079,8.81
2172,2105,2234,2618,2779,2945,3188,2950,3396,986,17,3994,3079,9.19
2324,1919,2018,2381,2469,2589,2797,2665,2956,1049,17,3584,2766,8.53
1505,1471,1604,2115,2297,2496,2610,2445,2665,1211,17,2718,2347,7.75
1505,1471,1604,2115,2297,2496,2610,2445,2665,1211,17,2718,2347,7.75
2055,1892,1823,1953,2004,2115,2242,2243,2342,1340,32,2784,2476,5.2
2195,1688,1199,804,737,792,780,690,672,176,6,57,22,5.1
6072,5651,5102,5026,5028,4937,4677,4264,4432,1877,11,90,66,7
1723,2619,2906,3492,3185,3618,4027,3924,4162,792,14,4214,3222,7.5
1117,874,632,262,221,200,189,155,154,68,7,47,31,5.46
2206,2302,2326,2638,2565,3098,3385,3083,3523,1268,17,3443,2853,8
1903,1683,1692,2183,2470,2775,2817,2509,3020,1238,18,3764,3418,8.1
2628,2910,2905,3110,2949,3177,3358,2904,3360,1347,17,3746,3319,7.9
1751,1923,1920,2138,1944,1991,2185,2234,2052,647,14,2389,1818,8
1648,1696,1644,1779,1659,1873,1999,1981,1971,673,15,2129,1695,8.1
1751,1465,1424,1652,1494,1483,2022,1775,1370,647,14,1972,1444,8
2206,2357,2489,2892,2963,3232,3514,3337,3622,1268,17,3606,2833,6.9
1751,1224,1075,1183,1392,2017,1702,1212,2012,647,14,1754,1316,7.9
1887,1676,1713,1929,1969,2134,2279,2146,2394,628,15,2230,1659,7.9
2088,2023,1753,1737,1684,1788,1842,1708,1778,645,14,1431,1077,8
1670,1421,1255,1342,1325,1481,1545,1396,1539,605,14,1327,1072,8.2
1751,1224,1075,1183,1392,2017,1702,1212,2012,647,14,1754,1316,7.8
2040,1687,1839,2351,2510,2670,2940,2768,3178,1384,20,4342,3513,7.86
1366,1398,1352,1426,1434,1601,1699,1610,1736,758,11,1650,1221,8.2
2387,2868,3258,3820,3932,4060,4376,4259,4519,1533,23,5121,4210,8.2
1972,2106,2505,3193,3417,3769,3966,3826,4043,1515,19,4097,3337,8.4
1734,1813,2202,2908,3070,3462,3657,3492,3651,1538,22,3895,3064,8.5
1524,1441,1707,2386,2273,2450,2503,2665,2578,1155,19,2652,2108,8.2
2232,2590,3105,3706,3797,4188,4688,4450,4801,1500,18,5021,3235,7.9
1949,2553,2928,3641,3807,3313,3684,3611,3940,753,13,3487,2723,7.9
1794,1578,1587,2063,2161,2311,2562,2315,2476,958,13,2861,2337,8.3
1917,1427,1455,2097,2083,2391,2559,2402,2636,817,16,3409,3023,8.2
1861,2117,2051,2269,2391,2469,2599,2358,2746,741,13,2668,2233,8.1
1569,1343,1422,2028,2147,2292,2537,2435,2394,1173,51,2875,2962,7.75
1887,1610,1648,2239,2340,2828,3009,2520,2915,829,14,3171,2649,8.3
1783,1765,1960,2676,2989,3259,3510,3250,3773,976,18,4227,3468,8.1
1878,1602,1409,1354,1791,1923,2019,1347,1916,520,13,2725,1827,7.9
1694,1872,2174,2524,2461,2920,3139,3082,3420,981,17,3294,2477,8.32
1460,1328,1483,1424,1198,719,763,617,540,93,8,153,98,8.2
2195,3320,3607,3807,3547,3706,3775,3801,3860,836,13,3819,3803,7.98
1717,1960,2344,2845,2942,3237,3579,3428,3723,1091,17,4278,3419,7.95
4239,3703,3792,4161,5389,5470,5504,4234,5292,2455,32,1356,1226,5.7
1344,1575,1861,2542,2528,2748,3043,3030,3250,806,15,4047,3049,8.5
