,lat,long,NDVI,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B10,B11,B12,pH
325,40.2424,-6.6919,0.18003992015968065,1223.0,1034.0,962.0,1027.0,1224.0,1437.0,1560.0,1478.0,1649.0,544.0,10.0,1952.0,1425.0,4.1
326,40.034,-6.0002,0.12042480561350274,1452.0,1607.0,1776.0,2319.0,2475.0,2737.0,2990.0,2954.0,3321.0,939.0,18.0,4443.0,2980.0,5.8
327,40.134,-5.3668,0.1699623352165725,1436.0,1398.0,1429.0,1763.0,1870.0,2386.0,2736.0,2485.0,3143.0,727.0,16.0,3979.0,2505.0,4.9
328,39.884,-6.0502,0.1948343627175744,1305.0,1200.0,1170.0,1434.0,1658.0,1947.0,2152.0,2128.0,2410.0,683.0,15.0,3403.0,2199.0,5.9
329,39.934,-5.9168,0.06809229037703995,1552.0,1485.0,1461.0,1656.0,1653.0,1831.0,1988.0,1898.0,2229.0,650.0,14.0,2826.0,2064.0,5.5
330,39.9174,-5.6835,0.18624078624078624,1452.0,1264.0,1265.0,1656.0,1847.0,2108.0,2393.0,2414.0,2746.0,690.0,17.0,3996.0,2449.0,6.3
331,39.7673,-5.2168,0.17325367647058823,1456.0,1349.0,1395.0,1799.0,1983.0,2284.0,2613.0,2553.0,2980.0,1251.0,18.0,4496.0,3075.0,7.1
332,39.6007,-7.0836,0.126676005603362,1511.0,1536.0,1768.0,2182.0,2269.0,2593.0,2871.0,2815.0,3036.0,1075.0,17.0,3755.0,2964.0,5.5
333,39.1507,-6.0168,0.16043341488989862,1557.0,1348.0,1240.0,1201.0,1270.0,1823.0,1949.0,1660.0,2097.0,1263.0,17.0,2016.0,1366.0,5.4
334,39.1173,-5.9168,0.16840019811788015,1754.0,1542.0,1506.0,1679.0,1958.0,2196.0,2420.0,2359.0,2588.0,1296.0,22.0,3011.0,2190.0,6.5
335,39.884,-5.4668,0.1848281642917016,1668.0,1543.0,1664.0,1945.0,2013.0,2488.0,2886.0,2827.0,3212.0,736.0,17.0,3587.0,2409.0,6.3
336,40.0507,-5.4335,0.17463113851574544,1493.0,1511.0,1570.0,1874.0,1963.0,2467.0,2791.0,2667.0,3138.0,713.0,16.0,3735.0,2513.0,5.3
337,39.984,-6.5669,0.16672212978369386,1386.0,1506.0,1762.0,2504.0,2680.0,2984.0,3309.0,3506.0,3779.0,1193.0,13.0,4048.0,2727.0,6.1
338,36.9006,-5.7001,0.07879333633498424,1526.0,1248.0,1001.0,1023.0,1010.0,1113.0,1212.0,1198.0,1338.0,420.0,7.0,2158.0,1615.0,7.7
339,36.7506,-6.1835,0.12867355043685463,1713.0,1342.0,1168.0,1097.0,1224.0,1390.0,1541.0,1421.0,1702.0,504.0,17.0,2131.0,1447.0,7.6
340,36.6841,-6.0779,0.04625346901017576,1953.0,1780.0,1841.0,2062.0,1935.0,1902.0,2118.0,2262.0,2123.0,660.0,13.0,2341.0,1860.0,7.9
341,36.8006,-5.6168,0.07438752783964366,1410.0,1101.0,912.0,1039.0,1086.0,1186.0,1296.0,1206.0,1386.0,480.0,13.0,2097.0,1650.0,7.5
342,36.5173,-6.0502,0.09413629160063391,1667.0,1473.0,1296.0,1429.0,1325.0,1528.0,1590.0,1726.0,1810.0,646.0,14.0,2611.0,2013.0,7.9
343,36.2339,-5.8335,0.12297623148467103,1510.0,1230.0,1094.0,1273.0,1342.0,1530.0,1734.0,1630.0,1871.0,614.0,18.0,2747.0,2197.0,7.6
344,36.1837,-5.3946,0.0052335723977515024,2084.0,2287.0,2279.0,2566.0,2702.0,2692.0,2915.0,2593.0,3104.0,632.0,0.0,2338.0,1395.0,7.8
345,43.3008,-4.2001,0.099784455432991,3796.0,3594.0,3381.0,3550.0,3531.0,4203.0,4682.0,4337.0,4931.0,915.0,19.0,3878.0,2918.0,4.7
346,40.7507,-0.1665,0.1317941317941318,1471.0,1508.0,1565.0,1805.0,1931.0,2345.0,2538.0,2353.0,2806.0,524.0,12.0,3167.0,2192.0,8.0
347,40.6174,-0.1332,0.10384477182896155,3732.0,3965.0,3916.0,3741.0,3787.0,3942.0,3948.0,4608.0,3966.0,1992.0,106.0,3564.0,2463.0,7.8
348,40.0507,-0.4665,0.11494252873563218,1210.0,838.0,510.0,308.0,354.0,453.0,521.0,388.0,475.0,186.0,9.0,187.0,96.0,8.2
349,39.4451,-4.887,0.11045546745343905,1376.0,1450.0,1635.0,2412.0,2645.0,2868.0,3076.0,3011.0,3297.0,1296.0,15.0,3910.0,2858.0,5.5
350,39.4465,-4.7801,0.13890489913544668,1253.0,1097.0,1166.0,1494.0,1616.0,1807.0,1968.0,1976.0,2146.0,923.0,15.0,3486.0,2647.0,5.4
351,39.3507,-2.9333,0.11037839535248861,1557.0,1879.0,2102.0,2833.0,2722.0,3200.0,3485.0,3536.0,3645.0,1480.0,21.0,4280.0,3537.0,7.8
352,39.2673,-3.7334,0.17541436464088397,1475.0,1557.0,1698.0,2388.0,2736.0,3090.0,3453.0,3404.0,3945.0,1355.0,18.0,4243.0,2661.0,6.4
353,39.2673,-3.4334,0.15625,1619.0,1445.0,1517.0,2025.0,2351.0,2635.0,2848.0,2775.0,3251.0,1349.0,21.0,4234.0,3105.0,7.7
354,39.3173,-3.1833,0.14036950520280314,1462.0,1392.0,1524.0,2024.0,2151.0,2519.0,2759.0,2685.0,2877.0,1055.0,20.0,3620.0,3017.0,7.8
355,39.284,-2.8667,0.11560891938250428,1724.0,1513.0,1788.0,2578.0,2917.0,3131.0,3386.0,3252.0,3678.0,1847.0,25.0,4791.0,3982.0,7.7
356,39.0523,-4.1765,0.09788359788359788,1375.0,1112.0,1062.0,1364.0,1471.0,1691.0,1804.0,1660.0,1909.0,810.0,15.0,2152.0,1714.0,7.8
357,39.0348,-4.157,0.1388660640920296,1390.0,1261.0,1252.0,1572.0,1696.0,1931.0,2114.0,2079.0,2309.0,885.0,16.0,2226.0,1488.0,6.7
358,39.1118,-3.2417,0.1325459317585302,1587.0,1676.0,1886.0,2644.0,2924.0,3117.0,3421.0,3452.0,3973.0,1357.0,21.0,4395.0,2948.0,8.3
359,39.1173,-3.1167,0.11552875998044647,1627.0,1608.0,1885.0,2714.0,2888.0,3148.0,3431.0,3423.0,3723.0,1278.0,22.0,4813.0,4042.0,8.0
360,38.834,-3.8334,0.12234227953990938,1662.0,1608.0,1788.0,2518.0,2659.0,2851.0,3157.0,3220.0,3502.0,1384.0,22.0,4331.0,3066.0,6.4
361,38.8687,-3.6945,0.042370678450740835,1527.0,1484.0,1464.0,1842.0,2103.0,2277.0,2384.0,2005.0,2426.0,938.0,17.0,2901.0,2088.0,7.9
362,38.9257,-3.6536,0.1185292694726657,1389.0,1125.0,1233.0,1822.0,1985.0,2273.0,2479.0,2312.0,2512.0,1057.0,17.0,2705.0,2012.0,7.7
363,38.836999999999996,-3.3947,0.02526351012213485,1727.0,2139.0,2365.0,2913.0,3039.0,3011.0,3382.0,3064.0,3206.0,1111.0,20.0,3299.0,2645.0,7.9
364,38.884,-3.2667,0.07657142857142857,1378.0,1226.0,1323.0,2020.0,2138.0,2292.0,2455.0,2355.0,2576.0,968.0,18.0,3040.0,2691.0,7.9
365,38.9173,-3.0833,0.1509142983035911,1347.0,1225.0,1283.0,1927.0,2147.0,2439.0,2647.0,2612.0,2905.0,1052.0,17.0,3062.0,2296.0,8.0
366,38.734,-4.0801,0.11204565935716432,1249.0,980.0,971.0,1478.0,1679.0,1844.0,1993.0,1851.0,2107.0,1036.0,17.0,2877.0,2264.0,7.6
367,38.722,-3.8956,0.1467072375570528,1428.0,1397.0,1480.0,1963.0,2201.0,2413.0,2751.0,2638.0,2938.0,1133.0,18.0,3146.0,2075.0,7.4
368,38.8006,-3.4334,0.17036654620547237,1259.0,1073.0,1160.0,1607.0,1766.0,2112.0,2325.0,2267.0,2449.0,1090.0,20.0,3173.0,2520.0,7.7
369,38.7006,-3.0167,0.0767473732297853,1284.0,1198.0,1286.0,2021.0,2150.0,2264.0,2426.0,2357.0,2585.0,936.0,17.0,3219.0,2605.0,7.8
370,38.8173,-2.9833,0.07527372262773722,1395.0,1249.0,1354.0,2027.0,2133.0,2307.0,2476.0,2357.0,2589.0,977.0,19.0,3095.0,2635.0,8.0
371,38.7673,-2.8667,0.09997840639170806,1350.0,1286.0,1465.0,2084.0,2257.0,2476.0,2637.0,2547.0,2865.0,1160.0,19.0,3776.0,2989.0,8.0
372,38.634,-3.6,0.1372854914196568,1312.0,1105.0,1190.0,1659.0,1807.0,2077.0,2283.0,2187.0,2347.0,977.0,20.0,3300.0,2375.0,7.1
