,lat,long,NDVI,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B10,B11,B12,Ca [mg/kg]
35,37.8228,-2.8361,0.12670723461798514,2092.0,2240.0,2625.0,3229.0,3576.0,3840.0,4201.0,4166.0,4531.0,2120.0,28.0,5395.0,4040.0,4065.0
36,37.9228,-2.55,0.18243834178765087,1533.0,1595.0,1872.0,2337.0,2715.0,3245.0,3597.0,3380.0,3791.0,1700.0,23.0,4219.0,3297.0,8805.0
37,42.5008,-2.6333,0.09708877097375591,1615.0,1844.0,2220.0,3148.0,3303.0,3628.0,3781.0,3825.0,4006.0,1573.0,23.0,4606.0,3830.0,3720.0
38,42.5827,-2.7833,0.1938986556359876,1436.0,1405.0,1387.0,1559.0,1595.0,2157.0,2362.0,2309.0,2534.0,1157.0,16.0,2588.0,1846.0,1440.0
39,42.5846,-2.6667,0.14188861985472154,1324.0,1470.0,1675.0,1772.0,2190.0,2496.0,2940.0,2358.0,2797.0,1377.0,16.0,2926.0,2262.0,5640.0
40,42.4994,-2.6166,0.112737410698728,1689.0,1780.0,2005.0,2546.0,2648.0,2881.0,3087.0,3193.0,3289.0,1430.0,21.0,4103.0,3365.0,660.0
41,39.2396,-2.3486,0.13396601191789892,1452.0,1192.0,1333.0,1962.0,2179.0,2513.0,2701.0,2569.0,2959.0,1497.0,17.0,3606.0,2951.0,2660.0
42,39.0173,-2.0166,0.16121376504492288,1644.0,1562.0,1777.0,2474.0,2771.0,3201.0,3477.0,3425.0,3743.0,2026.0,41.0,4600.0,3739.0,1580.0
43,38.9173,-1.8333,0.10689703610057592,1638.0,1754.0,2127.0,3179.0,3311.0,3573.0,3885.0,3940.0,4208.0,1640.0,20.0,4972.0,3752.0,2700.0
44,38.8006,-1.7333,0.1491108071135431,1609.0,1360.0,1544.0,1866.0,1973.0,2114.0,2370.0,2520.0,2545.0,1115.0,18.0,3090.0,2539.0,2860.0
45,38.6908,-2.6988,0.10761854022376133,1540.0,1328.0,1339.0,1675.0,2128.0,2333.0,2422.0,2079.0,2584.0,1021.0,14.0,3533.0,3062.0,740.0
46,38.6506,-2.55,0.11901375059269796,1255.0,1168.0,1195.0,1858.0,2044.0,2285.0,2511.0,2360.0,2830.0,1158.0,17.0,3480.0,2346.0,2660.0
47,38.2006,-0.7999,0.1522491349480969,1941.0,1670.0,1536.0,1715.0,1857.0,2232.0,2542.0,2331.0,2826.0,605.0,18.0,3141.0,2220.0,360.0
48,38.2006,-0.7666,0.18845950238221282,1717.0,1616.0,1550.0,1533.0,1424.0,1773.0,2010.0,2245.0,2345.0,305.0,13.0,1582.0,985.0,500.0
49,38.184,-0.6332,0.11917750734368443,1596.0,1714.0,1924.0,2099.0,2357.0,2414.0,2659.0,2667.0,2551.0,262.0,13.0,127.0,73.0,320.0
50,38.0173,-0.8832,0.08258130427379533,2128.0,2231.0,2339.0,2694.0,2274.0,2645.0,2898.0,3179.0,3294.0,638.0,10.0,3401.0,2519.0,1840.0
51,37.8173,-2.2333,0.07657550535077289,2008.0,2189.0,2739.0,3883.0,4127.0,4381.0,4668.0,4527.0,4841.0,1994.0,24.0,5605.0,4588.0,2320.0
52,37.7006,-2.2833,0.08505747126436781,1658.0,1741.0,2117.0,2985.0,3113.0,3336.0,3516.0,3540.0,3732.0,1557.0,19.0,4564.0,3906.0,7040.0
53,37.6006,-2.3,0.11583276216586703,1503.0,1486.0,1804.0,2580.0,2774.0,3070.0,3352.0,3256.0,3539.0,1489.0,20.0,4055.0,3312.0,3080.0
54,37.5506,-2.1333,0.10276986797825524,1586.0,1512.0,1510.0,1733.0,1751.0,1986.0,2119.0,2130.0,2231.0,903.0,13.0,2400.0,1790.0,1480.0
55,37.4173,-2.4166,0.11142533936651584,1377.0,1281.0,1322.0,1571.0,1680.0,1848.0,1988.0,1965.0,2146.0,820.0,13.0,2568.0,1888.0,980.0
56,37.4673,-2.35,0.12535344015080113,1513.0,1446.0,1688.0,2320.0,2519.0,2870.0,3137.0,2985.0,3300.0,1317.0,18.0,3502.0,2857.0,5260.0
57,37.4339,-2.2333,0.08609846020386033,1566.0,1568.0,1723.0,2107.0,2011.0,2123.0,2294.0,2504.0,2430.0,925.0,15.0,2932.0,2267.0,940.0
58,37.3839,-2.1387,0.08371979497193067,2024.0,1664.0,1589.0,1877.0,2548.0,2923.0,3106.0,2220.0,2979.0,1029.0,14.0,3191.0,2570.0,1740.0
59,37.4839,-2.0833,0.002277904328018223,1608.0,1505.0,1475.0,1533.0,1516.0,1563.0,1602.0,1540.0,1593.0,660.0,12.0,1473.0,1163.0,900.0
60,36.8006,-2.0625,0.023238747553816046,2630.0,3053.0,3320.0,3993.0,3699.0,3909.0,4093.0,4183.0,4172.0,1190.0,18.0,4131.0,3351.0,3160.0
61,37.3339,-2.5666,0.1192198804655552,1341.0,1165.0,1159.0,1400.0,1459.0,1637.0,1751.0,1779.0,1930.0,859.0,15.0,2688.0,2035.0,700.0
